Description,Title,State,Postcode,SiteCode,ContractType,SiteRating,StreamA,StreamB,StreamC,Specialisation,Location,Address,Phone,Latitude,Longitude,ServiceType,
"Jobfind is a one-stop-shop for training and employment. Gain the skills you need with our state-of-the-art training and let our dedicated consultants promote YOU to prospective employers. We have helped over half a million people across Australia into employment and we can help you too.  This site provides full time services Mon-Fri, 9am-5pm",Jobfind Centres Australia Pty Ltd,VIC,3124,A521,DESB,4,,,,All Job Seekers,CAMBERWELL,Level 3 697 Burke Road,1300 360 562,-37.83201095,145.05610685,,
"APM knows everyone faces challenges when looking for work.
We help you get the right support to find and keep a job.
We’re Australia’s largest DES provider.
With the strongest job placement rates, we help more people into work than anyone else.
You’ll find us here 9am to 5pm, Mon to Fri.
There’s a job out there for you, let’s go find it.",APM Employment Services,SA,5085,A531,DESB,5,,,,All Job Seekers,CLEARVIEW,Shop 7 254 Hampstead Road,(08) 8262 3098,-34.85873851,138.61778322,,
,Ostara Australia,NSW,2099,A551,DESB,1,,,,Mental Health,DEE WHY,1/683 Pittwater Road,(02) 9415 1301,-33.75319538,151.28532324,,
"At WISE Employment we specialise in helping people with diverse backgrounds find meaningful work. Through our DES program, we focus on what you’re good at and match your skills to the right job. We continue to support you as your confidence grows and you adjust to your new workplace. Our local team would love to meet you – let’s chat!",WISE Employment Ltd,SA,5046,A581,DESB,3,,,,All Job Seekers,OAKLANDS PARK,"Marion Cultural Centre, 287 Diagonal Road",(08) 8408 9220,-35.01364010,138.54338745,,
,OCTEC Limited,NSW,2486,A591,DESB,5,,,,All Job Seekers,BANORA POINT,"Banora Point Community Center, Woodlands Drive",(07) 5601 0218,-28.21500921,153.53027131,,
,OCTEC Limited,NSW,2489,A601,DESB,5,,,,All Job Seekers,POTTSVILLE,Pottsville Neighborhood Center 12A Elizabeth Street,(07) 5601 0218,-28.39036249,153.56422114,,
,OCTEC Limited,NSW,2480,A611,DESB,4,,,,All Job Seekers,GOONELLABAH,"Goonellabah Community Center, 27 Oliver Ave",(02) 6622 0305,-28.82494301,153.32623274,,
,Joblife Employment,TAS,7249,A631,DESB,3,,,,All Job Seekers,KINGS MEADOWS,16 - 18 Reuben Court,1800 319 502,-41.46682253,147.15836107,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,NSW,2263,A671,DESB,1,,,,All Job Seekers,GOROKAN,"Lake Haven Recreation Centre, Goobarabah Ave",1300 080 856,-33.24438840,151.51082046,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,NSW,2164,A681,DESB,3,,,,All Job Seekers,WETHERILL PARK,"Wetherill Park Library, 561-583 Polding St",1300 080 856,-33.85768309,150.89874253,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,NSW,2559,A691,DESB,5,,,,All Job Seekers,CLAYMORE,"Claymore Opportunity Hub, Cnr Gould & Dobell Rd",1300 080 856,-34.04485005,150.80718390,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,NSW,2145,A701,DESB,1,,,,All Job Seekers,WENTWORTHVILLE,"Office 1, 1-5 Dunmore Street,",1300 080 856,-33.80730149,150.97008970,,
"We’re atWork Australia, formerly NORTEC, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment.We work hard to find the right person the right job, and have been doing so for over 15 years. Let’s get started, callus today on 1300 080 856.",Atwork Australia Pty Ltd,NSW,2483,A751,DESB,2,,,,All Job Seekers,OCEAN SHORES,84 Rajah Road Shop 9 Ocean Village Shopping Centre,1300 080 856,-28.52440107,153.54604510,,
"We’re atWork Australia, formerly NORTEC, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment.We work hard to find the right person the right job, and have been doing so for over 15 years. Let’s get started, callus today on 1300 080 856.",Atwork Australia Pty Ltd,NSW,2481,A761,DESB,3,,,,All Job Seekers,BYRON BAY,"Unit 6, 14 Middleton Street",1300 080 856,-28.64448368,153.61466200,,
"We’re atWork Australia, formerly NORTEC, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment.We work hard to find the right person the right job, and have been doing so for over 15 years. Let’s get started, callus today on 1300 080 856.",Atwork Australia Pty Ltd,NSW,2478,A771,DESB,3,,,,All Job Seekers,BALLINA,"Shop 27, Ballina Central Central S/C, 44 Bangalow Rd,",1300 080 856,-28.85847397,153.56197118,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,NSW,2454,A781,DESB,3,,,,All Job Seekers,BELLINGEN,Bello Youth Hub Cnr Church & William St,1300 080 856,-30.45237152,152.89207167,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,NSW,2447,A791,DESB,1,,,,All Job Seekers,MACKSVILLE,Shop 4 10-12 Princess St,1300 080 856,-30.72150566,152.91729339,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,NSW,2456,A801,DESB,2,,,,All Job Seekers,WOOLGOOLGA,35 Beach St Woolgoolga Neighbourhood Centre,1300 080 856,-30.09962942,153.16343687,,
,OCTEC Limited,VIC,3612,A821,DESB,New,,,,All Job Seekers,RUSHWORTH,67 High Street,(03) 5858 1735,-36.58967708,145.01640727,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,SA,5159,A831,DESB,4,,,,All Job Seekers,ABERFOYLE PARK,"Aberfoyle Community Centre, 1 Jessica St",1300 080 856,-35.07777261,138.58989172,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,SA,5163,A841,DESB,4,,,,All Job Seekers,HACKHAM WEST,"Hackham West Community Centre, 44 Glynville Dr",1300 080 856,-35.14180966,138.51514802,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,SA,5162,A851,DESB,4,,,,All Job Seekers,MORPHETT VALE,"Wakefield House, 65 Acres Ave 1300080856",1300 080 856,-35.11125513,138.51669251,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,SA,5013,A861,DESB,3,,,,All Job Seekers,OTTOWAY,"Junction Community Centre, 2A May Tce",1300 080 856,-34.85116347,138.52740330,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,SA,5033,A871,DESB,3,,,,All Job Seekers,COWANDILLA,"Western Youth Centre, 79 Marion Rd",1300 080 856,-34.93114090,138.55271255,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,SA,5115,A891,DESB,1,,,,All Job Seekers,MUNNO PARA,"Stretton Centre, 307 Peachy Rd",1300 080 856,-34.66954306,138.68049800,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,SA,5095,A901,DESB,1,,,,All Job Seekers,MAWSON LAKES,Shop 2 21-25 Goodall Pde,1300 080 856,-34.80749112,138.61622490,,
,OCTEC Limited,VIC,3023,A911,DESB,New,,,,All Job Seekers,DEER PARK,"93B Station Road,",(03) 8798 9572,-37.77067307,144.77427737,,
,OCTEC Limited,VIC,3976,A931,DESB,3,,,,All Job Seekers,HAMPTON PARK,Shop 5/25 Fordholm Road,(03) 8798 9572,-38.03863226,145.26866179,,
,OCTEC Limited,VIC,3075,A941,DESB,3,,,,All Job Seekers,LALOR,47A French Street,(03) 8798 9572,-37.67311230,145.01863205,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,VIC,3352,A951,DESB,1,,,,All Job Seekers,LEXTON,"Lexton Community Centre, 14 Williamson Street",1300 080 856,-37.27418900,143.51643400,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,NSW,2340,A961,DESB,1,,,,All Job Seekers,SOUTH TAMWORTH,74a Robert Street,1300 080 856,-31.10880887,150.90865045,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,QLD,4814,A971,DESB,3,,,,All Job Seekers,AITKENVALE,"Ground Level, 85 Patrick Street,",1300 080 856,-19.29822662,146.76594875,,
,AimBig Employment,NSW,2220,A981,DESB,4,,,,All Job Seekers,HURSTVILLE,6 112 Queens Road,1300 034 997,-33.96379622,151.10182083,,
,AimBig Employment,NSW,2228,A991,DESB,5,,,,All Job Seekers,MIRANDA,"Level 1, 29 Kiora Road",1300 034 997,-34.03312903,151.10181327,,
,AimBig Employment,NSW,2750,AA01,DESB,3,,,,All Job Seekers,PENRITH,"Suite 2001, Level 2, 21-23 Station St",1300 034 997,-33.75658104,150.69179392,,
,AimBig Employment,NSW,2565,AA11,DESB,3,,,,All Job Seekers,INGLEBURN,Suites B & C 25 Oxford Road,1300 034 997,-33.99863414,150.86576365,,
,AimBig Employment,NSW,2560,AA21,DESB,4,,,,All Job Seekers,CAMPBELLTOWN,Suite 1 167-169 Queen Street,1300 034 997,-34.06667909,150.81388032,,
,AimBig Employment,NSW,2170,AA41,DESB,5,,,,All Job Seekers,LIVERPOOL,"Suite 9, Level 1, 153 George St",1300 034 997,-33.92121540,150.92482952,,
,AimBig Employment,NSW,2010,AA51,DESB,4,,,,All Job Seekers,SURRY HILLS,Ground Floor 55-57 Cooper Street,1300 034 997,-33.88566442,151.21201790,,
,AimBig Employment,NSW,2010,AA61,DESB,5,,,,All Job Seekers,DARLINGHURST,25 2-14 Bayswater Road,1300 034 997,-33.87468936,151.22299513,,
,AimBig Employment,NSW,2204,AA71,DESB,5,,,,All Job Seekers,MARRICKVILLE,1/70 Shepherd Street,1300 034 997,-33.90496244,151.16235913,,
,AimBig Employment,NSW,2040,AA81,DESB,5,,,,All Job Seekers,LEICHHARDT,"Suite 47B, 21-23 Norton St",1300 034 997,-33.88721100,151.15837770,,
,AimBig Employment,NSW,2165,AA91,DESB,5,,,,All Job Seekers,FAIRFIELD,Shop 7 36 Ware Street,1300 034 997,-33.87179235,150.95554741,,
,AimBig Employment,NSW,2166,AB01,DESB,5,,,,All Job Seekers,CABRAMATTA,First Floor Suite 7/90 John Street,1300 034 997,-33.89523611,150.93493981,,
,AimBig Employment,NSW,2150,AB11,DESB,5,,,,All Job Seekers,PARRAMATTA,"Level 1 Suite 2, 11-13 Aird Street",1300 034 997,-33.81747002,150.99974951,,
,AimBig Employment,NSW,2153,AB21,DESB,5,,,,All Job Seekers,BAULKHAM HILLS,Nexus Norwest Level 5 4 Columbia Court,1300 034 997,-33.73099943,150.96949451,,
,AimBig Employment,NSW,2144,AB31,DESB,5,,,,All Job Seekers,AUBURN,8A 1-5 Harrow Road,1300 034 997,-33.85076533,151.03132955,,
,AimBig Employment,QLD,4455,AB41,DESB,4,,,,All Job Seekers,ROMA,57 Bungil Street,1300 034 997,-26.56877349,148.78807662,,
,AimBig Employment,QLD,4405,AB51,DESB,5,,,,All Job Seekers,DALBY,106 Cunningham Street,1300 034 997,-27.18216389,151.26477114,,
,AimBig Employment,QLD,4413,AB61,DESB,2,,,,All Job Seekers,CHINCHILLA,Bass House 67-71 Middle Street,1300 034 997,-26.74295127,150.62722338,,
,AimBig Employment,QLD,4415,AB71,DESB,4,,,,All Job Seekers,MILES,73A Murilla street,1300 034 997,-26.65915989,150.18618642,,
,AimBig Employment,VIC,3220,AB91,DESB,Rating unavailable,,,,All Job Seekers,GEELONG,Suite 1 128 Yarra Street,1300 034 997,-38.15155390,144.36121747,,
"MAX Employment assists thousands of customers into work every year, delivering services from 250 offices across every Australian state and territory. Through our business and community network we link customers to jobs across multiple industries.We deliver Disability Employment Services on behalf of the Australian Govt.
This site operates Mon-Fri 8:30am-5pm",MAX Employment,NT,0810,ABRZ,DESB,2,,,,All Job Seekers,CASUARINA,2A Cascom Centre 13-17 Scaturchio St,(08) 8999 0300,-12.37254865,130.88109701,,
,AimBig Employment,VIC,3465,AC01,DESB,Rating unavailable,,,,All Job Seekers,MARYBOROUGH,23 Primrose Street,1300 034 997,-37.04413953,143.75190170,,
,AimBig Employment,VIC,3550,AC21,DESB,Rating unavailable,,,,All Job Seekers,BENDIGO,1/59 King Street,1300 034 997,-36.76401216,144.27813644,,
,Aimbig Employment,TAS,7250,AC31,DESB,Rating unavailable,,,,All Job Seekers,LAUNCESTON,"1st Floor, 28 Brisbane St",1300 034 997,-41.43496782,147.14164409,,
,AimBig Employment,TAS,7109,AC41,DESB,3,,,,All Job Seekers,HUONVILLE,1 Skinner Drive,1300 034 997,-43.03138249,147.04972289,,
,AimBig Employment,TAS,7000,AC51,DESB,3,,,,All Job Seekers,HOBART,336 Elizabeth Street,1300 034 997,-42.87509308,147.31706815,,
,AimBig Employment,TAS,7010,AC61,DESB,3,,,,All Job Seekers,GLENORCHY,4 Terry Street,1300 034 997,-42.83441912,147.27520459,,
,AimBig Employment,TAS,7018,AC71,DESB,3,,,,All Job Seekers,ROSNY PARK,46 Bligh Street,1300 034 997,-42.86358134,147.36998305,,
,AimBig Employment,NT,0810,AC81,DESB,3,,,,All Job Seekers,WANGURI,"Unit 5, 25 Vanderlin Dr",1300 034 997,-12.37635861,130.88594778,,
,AimBig Employment,NT,0828,AC91,DESB,3,,,,All Job Seekers,BERRIMAH,Tenancy 17 641 Stuart Highway Berrimah Business Centre,1300 034 997,-12.43499511,130.92611743,,
,Darwin Skills Development Scheme,NT,0810,ACFZ,DESB,2,,,,All Job Seekers,COCONUT GROVE,1 Tang Street,(08) 8948 9999,-12.39915100,130.85259000,,
,AimBig Employment,NSW,2470,AD01,DESB,1,,,,All Job Seekers,CASINO,35 Walker Street,1300 034 997,-28.86589708,153.04811024,,
,AimBig Employment,NSW,2480,AD11,DESB,1,,,,All Job Seekers,LISMORE,"Ground Floor, 49 Carrington St",1300 034 997,-28.81064108,153.27557485,,
,AimBig Employment,NSW,2360,AD21,DESB,5,,,,All Job Seekers,INVERELL,3 Glen Innes Rd,1300 034 997,-29.77914087,151.11543381,,
,AimBig Employment,NSW,2370,AD31,DESB,5,,,,All Job Seekers,GLEN INNES,371 Grey Street,1300 034 997,-29.73543305,151.73651583,,
,AimBig Employment,NSW,2444,AD41,DESB,Rating unavailable,,,,All Job Seekers,PORT MACQUARIE,"Suite 10, Level 1, 106 William Street",1300 034 997,-31.43145652,152.90935446,,
,AimBig Employment,NSW,2450,AD51,DESB,Rating unavailable,,,,All Job Seekers,COFFS HARBOUR,Level 3 22 Park Avenue,1300 034 997,-30.29869750,153.11462764,,
,AimBig Employment,NSW,2448,AD61,DESB,Rating unavailable,,,,All Job Seekers,NAMBUCCA HEADS,47B Bowra Street,1300 034 997,-30.64129704,153.00118363,,
,AimBig Employment,VIC,3064,AD71,DESB,5,,,,All Job Seekers,CRAIGIEBURN,75-95 Central park Avenue,1300 034 997,-37.59026099,144.90924842,,
,AimBig Employment,VIC,3039,AD81,DESB,5,,,,All Job Seekers,MOONEE PONDS,"Level 5, 641 Mount Alexander Road,",1300 034 997,-37.76648510,144.92413738,,
,AimBig Employment,VIC,3047,AD91,DESB,5,,,,All Job Seekers,BROADMEADOWS,1093 Pascoe Vale Road,1300 034 997,-37.68281175,144.91866250,,
,AimBig Employment,NSW,2330,AE01,DESB,Rating unavailable,,,,All Job Seekers,SINGLETON,Shop 8 54-56 John Street,1300 034 997,-32.56764524,151.16381006,,
,AimBig Employment,NSW,2292,AE11,DESB,1,,,,All Job Seekers,BROADMEADOW,51 Broadmeadow Road,1300 034 997,-32.91458953,151.73297856,,
,AimBig Employment,NSW,2380,AE21,DESB,3,,,,All Job Seekers,GUNNEDAH,Office 5 Germane House 285 Conadilly Street,1300 034 997,-30.97918502,150.25555297,,
,AimBig Employment,NSW,2340,AE31,DESB,3,,,,All Job Seekers,TAMWORTH,2/235 Peel Street,1300 034 997,-31.08841806,150.92739077,,
,AimBig Employment,NSW,2325,AE41,DESB,3,,,,All Job Seekers,CESSNOCK,7/34 Vincent Street,1300 034 997,-32.83382613,151.35684020,,
,AimBig Employment,NSW,2320,AE51,DESB,4,,,,All Job Seekers,MAITLAND,499 High St,1300 034 997,-32.73074945,151.55229938,,
,AimBig Employment,NSW,2259,AE61,DESB,3,,,,All Job Seekers,WYONG,84 Pacific Highway,1300 034 997,-33.28499016,151.42439879,,
,AimBig Employment,NSW,2256,AE71,DESB,3,,,,All Job Seekers,WOY WOY,93 McMasters Road,1300 034 997,-33.49980463,151.32071010,,
,AimBig Employment,NSW,2259,AE81,DESB,4,,,,All Job Seekers,KANWAL,A3 654 Pacific Highway Kanwal Medical Centre,1300 034 997,-33.26280860,151.48477301,,
,AimBig Employment,NSW,2250,AE91,DESB,2,,,,All Job Seekers,GOSFORD,"Shop 6, 110 Erina Street",1300 034 997,-33.42409132,151.34115038,,
     ,STEPS Employment Solutions,NT,0871,AJVZ,DESB,Rating unavailable,,,,All Job Seekers,ALICE SPRINGS,Shop 9 Jock Nelson Centre 16 Hartley Street,(08) 8950 7600,-23.69756600,133.88179300,,
"Where others see problems, we see possibilities.
We’ve been believing in people for more than 30 years, it’s a part of who we are.
We want to hear your story, so we can help find opportunities.
We don’t just team up with you, we get in your corner. Because sometimes just knowing someone has your back, is all you need to take the next step...
",Campbell Page,NSW,2204,AK00,DESB,5,,,,All Job Seekers,MARRICKVILLE,"Unit 1, 55 Warren Rd",(02) 9103 8600,-33.91603973,151.15089464,,
"Where others see problems, we see possibilities.
We’ve been believing in people for more than 30 years, it’s a part of who we are.
We want to hear your story, so we can help find opportunities.
We don’t just team up with you, we get in your corner. Because sometimes just knowing someone has your back, is all you need to take the next step...
",Campbell Page,VIC,3076,AK30,DESB,4,,,,All Job Seekers,EPPING,"Shop 111, Pacific Epping 571 High Street",(03) 9046 5890,-37.65357915,145.01892434,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,VIC,3820,AN06,DESB,3,,,,All Job Seekers,WARRAGUL,43 Queen Street,1300 080 856,-38.16289389,145.92914349,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,VIC,3995,AN16,DESB,3,,,,All Job Seekers,WONTHAGGI,56 McBride Avenue,1300 080 856,-38.60662753,145.59095676,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,VIC,3564,AN36,DESB,2,,,,All Job Seekers,ECHUCA,Echuca Neighbourhood House 261 High St,1300 080 856,-36.14424984,144.75171821,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. 
Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,VIC,3630,AN46,DESB,3,,,,All Job Seekers,SHEPPARTON,196 – 202 High St The Play Lab,1300 080 856,-36.38220457,145.40485229,,
"We’re atWork Australia, formerly Multiple Solutions, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. Let’s get started, call us today on 1300 080 856.",Atwork Australia Pty Ltd,TAS,7250,AN76,DESB,3,,,,All Job Seekers,LAUNCESTON,8 Willis Street,1300 080 856,-41.43114367,147.14114274,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. Let’s get started, call us today on 1300 080 856.
",Atwork Australia Pty Ltd,TAS,7019,AN86,DESB,4,,,,All Job Seekers,ROKEBY,"Clarence Plains Community Health Centre, 4 Hart Place",1300 080 856,-42.89656794,147.43100519,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. Let’s get started, call us today on 1300 080 856.
",Atwork Australia Pty Ltd,TAS,7010,AN96,DESB,4,,,,All Job Seekers,GLENORCHY,Glenorchy LINC (Library) 4 Terry St,1300 080 856,-42.83441912,147.27520459,,
"We’re atWork Australia, an employment services provider helping Australians with disability, illness or injury find meaningful and lasting employment. We work hard to find the right person the right job, and have been doing so for over 15 years. Let’s get started, call us today on 1300 080 856.
",Atwork Australia Pty Ltd,TAS,7030,AO06,DESB,4,,,,All Job Seekers,BRIDGEWATER,Brighton Community Health Ctr 27 Green Point Rd,1300 080 856,-42.73944938,147.24434225,,
